transaction_id,date,amount,merchant
TXN00049,2026-08-07,4651.68,Myntra
TXN00050,2026-08-12,2080.88,Uber
TXN00002,2026-08-05,1299.97,Swiggy
TXN00006,2026-08-14,3608.5,Flipkart
TXN00037,2026-08-14,646.61,Amazon
TXN00029,2026-08-14,3760.37,Ola
TXN00003,2026-08-03,3415.83,Ola
TXN00008,2026-08-06,3818.16,ANI TECH OLA
TXN00015,2026-08-03,2929.03,Zomato
TXN00013,2026-08-04,3675.69,Ola
TXN00006,2026-08-14,3608.5,Flipkart
TXN00012,2026-08-09,4252.72,Zomato
TXN00025,2026-08-07,1411.93,BookMyShow
TXN00039,2026-08-04,2587.64,MYNTRA DESIGNS
TXN00031,2026-08-02,545.46,Swiggy
TXN00034,2026-08-15,3019.85,Myntra
TXN00060,2026-08-14,562.2,BookMyShow
TXN00047,2026-08-06,3332.78,Myntra
TXN00042,2026-08-16,3034.83,Zomato
TXN00051,2026-08-15,4508.11,Swiggy
TXN00041,2026-08-06,1932.18,Zomato
TXN00004,2026-08-03,226.61,Flipkart
TXN00055,2026-08-02,430.26,BookMyShow
TXN00010,2026-08-11,3534.43,Swiggy
TXN00018,2026-08-12,1462.07,Amazon
TXN00022,2026-08-09,2365.08,FLIPKART INTERNET
TXN00053,2026-08-08,203.07,Flipkart
TXN00044,2026-08-08,896.87,Swiggy
TXN00057,2026-08-07,3377.99,Amazon
TXN00026,2026-08-16,1117.89,Ola
TXN00035,2026-08-01,4858.28,Swiggy
TXN00059,2026-08-14,3944.64,Flipkart
TXN00032,2026-08-06,848.92,Ola
TXN00011,2026-08-08,554.45,BookMyShow
TXN00019,2026-08-07,1913.89,Myntra
TXN00024,2026-08-11,4126.83,Ola
TXN00016,2026-08-14,3340.19,Swiggy
TXN00048,2026-08-14,2685.6,Flipkart
TXN00023,2026-08-02,3454.61,Flipkart
TXN00035,2026-08-01,4858.28,Swiggy
TXN00017,2026-08-04,4291.06,Ola
TXN00036,2026-08-09,3440.38,BookMyShow
TXN00014,2026-08-10,486.12,BookMyShow
TXN00038,2026-08-09,2323.25,Amazon
TXN00054,2026-08-02,135.24,Flipkart
TXN00007,2026-08-09,2284.93,Zomato
TXN00040,2026-08-07,4224.18,Amazon
TXN00043,2026-08-12,648.15,Myntra
TXN00058,2026-08-16,3644.43,Flipkart
TXN00001,2026-08-01,3233.19,Myntra
TXN00005,2026-08-01,1110.55,Flipkart
TXN00052,2026-08-03,1314.74,BookMyShow
TXN00021,2026-08-12,2717.29,Amazon
TXN00033,2026-08-13,3022.4,Ola
TXN00020,2026-08-03,3538.92,Amazon
TXN00045,2026-08-16,560.73,Swiggy
TXN00046,2026-08-05,4892.12,Amazon
TXN00009,2026-08-05,1767.23,Flipkart
