transaction_id,date,amount,merchant
TXN00019,2026-08-07,1913.89,Myntra
TXN00006,2026-08-14,3608.5,Flipkart
TXN00057,2026-08-07,3377.99,Amazon
TXN00017,2026-08-04,4291.06,Ola
TXN00013,2026-08-04,3675.69,Ola
TXN00060,2026-08-14,562.2,BookMyShow
TXN00038,2026-08-09,2323.25,Amazon
TXN00024,2026-08-11,4126.83,Ola
TXN00010,2026-08-11,4790.34,Swiggy
TXN00008,2026-08-06,3818.16,Ola
TXN00027,2026-08-15,4434.95,Amazon
TXN00041,2026-08-06,1932.18,Zomato
TXN00058,2026-08-16,3644.43,Flipkart
TXN00016,2026-08-10,3340.19,Swiggy
TXN00050,2026-08-12,2055.06,Uber
TXN00042,2026-08-16,3034.83,Zomato
TXN00034,2026-08-15,3019.85,Myntra
TXN00043,2026-08-12,648.15,Myntra
TXN00009,2026-08-05,1767.23,Flipkart
TXN00023,2026-08-02,3454.61,Flipkart
TXN00021,2026-08-08,2717.29,Amazon
TXN00025,2026-08-07,1411.93,BookMyShow
TXN00028,2026-08-08,1397.91,Myntra
TXN00003,2026-08-03,3415.83,Ola
TXN00030,2026-08-05,1873.78,Uber
TXN00002,2026-08-05,1299.97,Swiggy
TXN00007,2026-08-09,2301.12,Zomato
TXN00046,2026-08-05,4892.12,Amazon
TXN00051,2026-08-15,4508.11,Swiggy
TXN00053,2026-08-08,203.07,Flipkart
TXN00056,2026-08-08,447.2,Myntra
TXN00032,2026-08-06,848.92,Ola
TXN00035,2026-08-01,4858.28,Swiggy
TXN00049,2026-08-07,4651.68,Myntra
TXN00022,2026-08-09,2365.08,Flipkart
TXN00040,2026-08-07,4224.18,Amazon
TXN00036,2026-08-09,3440.38,BookMyShow
TXN00039,2026-08-04,2587.64,Myntra
TXN00005,2026-08-01,1240.04,Flipkart
TXN00015,2026-08-03,2929.03,Zomato
TXN00052,2026-08-03,1314.74,BookMyShow
TXN00014,2026-08-10,486.12,BookMyShow
TXN00011,2026-08-04,554.45,BookMyShow
TXN00033,2026-08-13,3022.4,Ola
TXN00045,2026-08-16,519.7,Swiggy
TXN00037,2026-08-14,646.61,Amazon
TXN00048,2026-08-14,2685.6,Flipkart
TXN00029,2026-08-14,3760.37,Ola
TXN00020,2026-08-03,3538.92,Amazon
TXN00031,2026-08-02,545.46,Swiggy
TXN00055,2026-08-02,430.26,BookMyShow
TXN00054,2026-08-02,135.24,Flipkart
TXN00018,2026-08-12,1462.07,Amazon
TXN00059,2026-08-14,3944.64,Flipkart
TXN00001,2026-08-01,3233.19,Myntra
TXN00026,2026-08-16,1141.87,Ola
TXN00012,2026-08-09,4252.72,Zomato
